,DateTime,Day,Day reg,Night reg,L1 reg
92,2014-11-06,Thu,name,name,name
93,2014-11-07,Fri,name,name,name
94,2014-11-08,Sat,name,name,name
95,2014-11-09,Sun,name,name,name
96,2014-11-10,Mon,name,name,name
97,2014-11-11,Tue,name,name,name
98,2014-11-12,Wed,name,name,name
99,2014-11-13,Thu,name,name,name
100,2014-11-14,Fri,name,name,name
101,2014-11-15,Sat,name,name,name
102,2014-11-16,Sun,name,name,name
103,2014-11-17,Mon,name,name,name
104,2014-11-18,Tue,name,name,name
105,2014-11-19,Wed,name,name,name
106,2014-11-20,Thu,name,name,name
107,2014-11-21,Fri,name,name,name
108,2014-11-22,Sat,name,name,name
109,2014-11-23,Sun,name,name,name
110,2014-11-24,Mon,name,name,name
111,2014-11-25,Tue,name,name,name
112,2014-11-26,Wed,name,name,name
113,2014-11-27,Thu,name,name,name
114,2014-11-28,Fri,name,name,name
115,2014-11-29,Sat,name,name,name
116,2014-11-30,Sun,name,name,name
117,2014-12-01,Mon,name,name,name
118,2014-12-02,Tue,name,name,name
119,2014-12-03,Wed,name,name,name
120,2014-12-04,Thu,name,name,name
121,2014-12-05,Fri,name,name,name
122,2014-12-06,Sat,name,name,name
123,2014-12-07,Sun,name,name,name
124,2014-12-08,Mon,name,name,name
125,2014-12-09,Tue,name,name,name
126,2014-12-10,Wed,name,name,name
127,2014-12-11,Thu,name,name,name
128,2014-12-12,Fri,name,name,name
129,2014-12-13,Sat,name,name,name
130,2014-12-14,Sun,name,name,name
131,2014-12-15,Mon,name,name,name
132,2014-12-16,Tue,name,name,name
133,2014-12-17,Wed,name,name,name
134,2014-12-18,Thu,name,name,name
135,2014-12-19,Fri,name,name,name
136,2014-12-20,Sat,name,name,name
137,2014-12-21,Sun,name,name,name
138,2014-12-22,Mon,name,name,name
139,2014-12-23,Tue,name,name,name
140,2014-12-24,Wed,name,name,name
141,2014-12-25,Thu,name,name,name
142,2014-12-26,Fri,name,name,name
143,2014-12-27,Sat,name,name,name
144,2014-12-28,Sun,name,name,name
145,2014-12-29,Mon,name,name,name
146,2014-12-30,Tue,name,name,name
147,2014-12-31,Wed,name,name,name
148,2015-01-01,Thu,name,name,name
149,2015-01-02,Fri,name,name,name
150,2015-01-03,Sat,name,name,name
151,2015-01-04,Sun,name,name,name
152,2015-01-05,Mon,name,name,name
153,2015-01-06,Tue,name,name,name
154,2015-01-07,Wed,name,name,name
155,2015-01-08,Thu,name,name,name
156,2015-01-09,Fri,name,name,name
157,2015-01-10,Sat,name,name,name
158,2015-01-11,Sun,name,name,name
159,2015-01-12,Mon,name,name,name
160,2015-01-13,Tue,name,name,name
161,2015-01-14,Wed,name,name,name
162,2015-01-15,Thu,name,name,name
163,2015-01-16,Fri,name,name,name
164,2015-01-17,Sat,name,name,name
165,2015-01-18,Sun,name,name,name
166,2015-01-19,Mon,name,name,name
167,2015-01-20,Tue,name,name,name
168,2015-01-21,Wed,name,name,name
169,2015-01-22,Thu,name,name,name
170,2015-01-23,Fri,name,name,name
171,2015-01-24,Sat,name,name,name
172,2015-01-25,Sun,name,name,name
173,2015-01-26,Mon,name,name,name
174,2015-01-27,Tue,name,name,name
175,2015-01-28,Wed,name,name,name
176,2015-01-29,Thu,name,name,name
177,2015-01-30,Fri,name,name,name
178,2015-01-31,Sat,name,name,name
179,2015-02-01,Sun,name,name,name
180,2015-02-02,Mon,name,name,name
181,2015-02-03,Tue,name,name,name
182,2015-02-04,Wed,name,name,name
183,2015-02-05,Thu,name,name,name
184,2015-02-06,Fri,name,name,name
185,2015-02-07,Sat,name,name,name
186,2015-02-08,Sun,name,name,name
187,2015-02-09,Mon,name,name,name
188,2015-02-10,Tue,name,name,name
189,2015-02-11,Wed,name,name,name
190,2015-02-12,Thu,name,name,name
191,2015-02-13,Fri,name,name,name
192,2015-02-14,Sat,name,name,name
193,2015-02-15,Sun,name,name,name
194,2015-02-16,Mon,name,name,name
195,2015-02-17,Tue,name,name,name
196,2015-02-18,Wed,name,name,name
197,2015-02-19,Thu,name,name,name
198,2015-02-20,Fri,name,name,name
199,2015-02-21,Sat,name,name,name
200,2015-02-22,Sun,name,name,name
201,2015-02-23,Mon,name,name,name
202,2015-02-24,Tue,name,name,name
203,2015-02-25,Wed,name,name,name
204,2015-02-26,Thu,name,name,name
205,2015-02-27,Fri,name,name,name
206,2015-02-28,Sat,name,name,name
207,2015-03-01,Sun,name,name,name
208,2015-03-02,Mon,name,name,name
209,2015-03-03,Tue,name,name,name
210,2015-03-04,Wed,name,name,name
211,2015-03-05,Thu,name,name,name
212,2015-03-06,Fri,name,name,name
213,2015-03-07,Sat,name,name,name
214,2015-03-08,Sun,name,name,name
215,2015-03-09,Mon,name,name,name
216,2015-03-10,Tue,name,name,name
217,2015-03-11,Wed,name,name,name
218,2015-03-12,Thu,name,name,name
219,2015-03-13,Fri,name,name,name
220,2015-03-14,Sat,name,name,name
221,2015-03-15,Sun,name,name,name
222,2015-03-16,Mon,name,name,name
223,2015-03-17,Tue,name,name,name
224,2015-03-18,Wed,name,name,name
225,2015-03-19,Thu,name,name,name
226,2015-03-20,Fri,name,name,name
227,2015-03-21,Sat,name,name,name
228,2015-03-22,Sun,name,name,name
229,2015-03-23,Mon,name,name,name
230,2015-03-24,Tue,name,name,name
231,2015-03-25,Wed,name,name,name
232,2015-03-26,Thu,name,name,name
233,2015-03-27,Fri,name,name,name
234,2015-03-28,Sat,name,name,name
235,2015-03-29,Sun,name,name,name
236,2015-03-30,Mon,name,name,name
237,2015-03-31,Tue,name,name,name
238,2015-04-01,Wed,name,name,name
239,2015-04-02,Thu,name,name,name
240,2015-04-03,Fri,name,name,name
241,2015-04-04,Sat,name,name,name
242,2015-04-05,Sun,name,name,name
243,2015-04-06,Mon,name,name,name
244,2015-04-07,Tue,name,name,name
245,2015-04-08,Wed,name,name,name
246,2015-04-09,Thu,name,name,name
247,2015-04-10,Fri,name,name,name
248,2015-04-11,Sat,name,name,name
249,2015-04-12,Sun,name,name,name
250,2015-04-13,Mon,name,name,name
251,2015-04-14,Tue,name,name,name
252,2015-04-15,Wed,name,name,name
253,2015-04-16,Thu,name,name,name
254,2015-04-17,Fri,name,name,name
255,2015-04-18,Sat,name,name,name
256,2015-04-19,Sun,name,name,name
257,2015-04-20,Mon,name,name,name
258,2015-04-21,Tue,name,name,name
259,2015-04-22,Wed,name,name,name
260,2015-04-23,Thu,name,name,name
261,2015-04-24,Fri,name,name,name
262,2015-04-25,Sat,name,name,name
263,2015-04-26,Sun,name,name,name
264,2015-04-27,Mon,name,name,name
265,2015-04-28,Tue,name,name,name
266,2015-04-29,Wed,name,name,name
267,2015-04-30,Thu,name,name,name
268,2015-05-01,Fri,name,name,name
269,2015-05-02,Sat,name,name,name
270,2015-05-03,Sun,name,name,name
271,2015-05-04,Mon,name,name,name
272,2015-05-05,Tue,name,name,name
273,2015-05-06,Wed,name,name,name
274,2015-05-07,Thu,name,name,name
275,2015-05-08,Fri,name,name,name
276,2015-05-09,Sat,name,name,name
277,2015-05-10,Sun,name,name,name
278,2015-05-11,Mon,name,name,name
279,2015-05-12,Tue,name,name,name
280,2015-05-13,Wed,name,name,name
281,2015-05-14,Thu,name,name,name
282,2015-05-15,Fri,name,name,name
283,2015-05-16,Sat,name,name,name
284,2015-05-17,Sun,name,name,name
285,2015-05-18,Mon,name,name,name
286,2015-05-19,Tue,name,name,name
287,2015-05-20,Wed,name,name,name
288,2015-05-21,Thu,name,name,name
289,2015-05-22,Fri,name,name,name
290,2015-05-23,Sat,name,name,name
291,2015-05-24,Sun,name,name,name
292,2015-05-25,Mon,name,name,name
293,2015-05-26,Tue,name,name,name
294,2015-05-27,Wed,name,name,name
295,2015-05-28,Thu,name,name,name
296,2015-05-29,Fri,name,name,name
297,2015-05-30,Sat,name,name,name
298,2015-05-31,Sun,name,name,name
299,2015-06-01,Mon,name,name,name
300,2015-06-02,Tue,name,name,name
301,2015-06-03,Wed,name,name,name
302,2015-06-04,Thu,name,name,name
303,2015-06-05,Fri,name,name,name
304,2015-06-06,Sat,name,name,name
305,2015-06-07,Sun,name,name,name
306,2015-06-08,Mon,name,name,name
307,2015-06-09,Tue,name,name,name
308,2015-06-10,Wed,name,name,name
309,2015-06-11,Thu,name,name,name
310,2015-06-12,Fri,name,name,name
311,2015-06-13,Sat,name,name,name
312,2015-06-14,Sun,name,name,name
313,2015-06-15,Mon,name,name,name
314,2015-06-16,Tue,name,name,name
315,2015-06-17,Wed,name,name,name
316,2015-06-18,Thu,name,name,name
317,2015-06-19,Fri,name,name,name
318,2015-06-20,Sat,name,name,name
319,2015-06-21,Sun,name,name,name
320,2015-06-22,Mon,name,name,name
321,2015-06-23,Tue,name,name,name
322,2015-06-24,Wed,name,name,name
323,2015-06-25,Thu,name,name,name
324,2015-06-26,Fri,name,name,name
325,2015-06-27,Sat,name,name,name
326,2015-06-28,Sun,name,name,name
327,2015-06-29,Mon,name,name,name
328,2015-06-30,Tue,name,name,name
329,2015-07-01,Wed,name,name,name
330,2015-07-02,Thu,name,name,name
331,2015-07-03,Fri,name,name,name
332,2015-07-04,Sat,name,name,name
333,2015-07-05,Sun,name,name,name
334,2015-07-06,Mon,name,name,name
335,2015-07-07,Tue,name,name,name
336,2015-07-08,Wed,name,name,name
337,2015-07-09,Thu,name,name,name
338,2015-07-10,Fri,name,name,name
339,2015-07-11,Sat,name,name,name
340,2015-07-12,Sun,name,name,name
341,2015-07-13,Mon,name,name,name
342,2015-07-14,Tue,name,name,name
343,2015-07-15,Wed,name,name,name
344,2015-07-16,Thu,name,name,name
345,2015-07-17,Fri,name,name,name
346,2015-07-18,Sat,name,name,name
347,2015-07-19,Sun,name,name,name
348,2015-07-20,Mon,name,name,name
349,2015-07-21,Tue,name,name,name
350,2015-07-22,Wed,name,name,name
351,2015-07-23,Thu,name,name,name
352,2015-07-24,Fri,name,name,name
353,2015-07-25,Sat,name,name,name
354,2015-07-26,Sun,name,name,name
355,2015-07-27,Mon,name,name,name
356,2015-07-28,Tue,name,name,name
357,2015-07-29,Wed,name,name,name
358,2015-07-30,Thu,name,name,name
359,2015-07-31,Fri,name,name,name
360,2015-08-01,Sat,name,name,name
361,2015-08-02,Sun,name,name,name
362,2015-08-03,Mon,name,name,name
363,2015-08-04,Tue,name,name,name
364,2015-08-05,Wed,name,name,name
365,2015-08-06,Thu,name,name,name
